Student_ID,Math,Science,English,Arts,Computer,Social_Studies,PE,Interest,Strength,Recommended_Career,Subjects_Needed
1,57,51,77,68,92,80,82,Coding,Computer,Doctor,"Biology, Science"
2,52,77,53,68,55,72,100,Robotics,PE,Sports Physiotherapist,"PE, Biology"
3,92,73,57,73,76,72,99,Healthcare,PE,Fitness Entrepreneur,"PE, Business Studies"
4,86,86,100,92,72,58,55,Leadership,English,Journalist,"English, Social Studies"
5,59,71,82,53,56,64,93,Nature,PE,Sports Physiotherapist,"PE, Biology"
6,56,83,56,91,57,92,88,History,Social,Political Scientist,"History, Social Studies"
7,95,83,95,86,97,53,89,Event Management,Computer,Blockchain Developer,"Computer, Math"
8,53,76,56,98,81,66,80,Nature,Arts,Interior Designer,"Arts, Math"
9,67,69,60,67,62,88,80,Robotics,Social,Historian,"History, Social Studies"
10,94,58,53,67,58,56,78,History,Math,Cybersecurity Analyst,"Computer, Math"
11,97,55,54,70,82,64,58,Painting,Math,Blockchain Developer,"Computer, Math"
12,65,100,74,73,98,57,86,Robotics,Science,Doctor,"Biology, Science"
13,71,81,51,97,53,75,70,Healthcare,Arts,Graphic Designer,"Arts, Computer"
14,88,66,64,72,50,61,91,Robotics,PE,Coach,"PE, Biology"
15,52,85,87,72,57,79,99,Teaching,PE,Fitness Entrepreneur,"PE, Business Studies"
16,78,95,60,63,51,52,99,Nature,PE,Sports Physiotherapist,"PE, Biology"
17,52,72,98,100,100,58,74,Leadership,Arts,Fashion Designer,Arts
18,96,97,70,57,73,61,94,Leadership,Science,Cybersecurity Analyst,"Computer, Math"
19,57,57,57,80,55,63,78,Finance,Arts,Interior Designer,"Arts, Math"
20,50,99,100,62,69,63,50,Painting,English,Public Relations Manager,"English, Social Studies"
21,86,100,83,71,99,79,63,Healthcare,Science,Game Developer,"Computer, Math"
22,51,68,57,65,97,75,85,History,Computer,Software Developer,"Computer, Math"
23,88,78,87,91,92,79,66,Robotics,Computer,Engineer,"Math, Computer, Science"
24,98,76,51,76,74,78,72,Event Management,Math,Software Developer,"Computer, Math"
25,52,67,64,73,91,82,82,Healthcare,Computer,Cybersecurity Analyst,"Computer, Math"
26,100,68,94,81,97,54,99,Teaching,Math,Blockchain Developer,"Computer, Math"
27,50,74,71,61,94,100,98,Painting,Social,Sociologist,Social Studies
28,91,61,76,62,96,63,72,Coding,Computer,Doctor,"Biology, Science"
29,95,63,59,77,76,95,69,Nature,Math,Cybersecurity Analyst,"Computer, Math"
30,51,72,81,89,100,55,50,Robotics,Computer,Scientist,"Math, Science"
31,78,92,73,81,53,69,81,Event Management,Science,Cybersecurity Analyst,"Computer, Math"
32,60,50,72,56,90,79,70,Writing,Computer,Cybersecurity Analyst,"Computer, Math"
33,66,53,90,85,89,89,93,Writing,PE,Sports Physiotherapist,"PE, Biology"
34,77,85,92,73,75,50,100,Event Management,PE,Sports Physiotherapist,"PE, Biology"
35,78,60,61,62,87,91,80,Teaching,Social,Counselor,"Social Studies, Biology"
36,84,52,88,89,54,53,75,Teaching,Arts,Interior Designer,"Arts, Math"
37,82,54,53,62,98,93,74,Event Management,Computer,Software Developer,"Computer, Math"
38,80,65,57,65,79,62,60,Finance,Math,Cybersecurity Analyst,"Computer, Math"
39,97,71,53,66,86,59,80,Teaching,Math,Software Developer,"Computer, Math"
40,83,85,68,65,95,58,76,Coding,Computer,Doctor,"Biology, Science"
41,52,78,59,75,86,56,61,Coding,Computer,Scientist,"Math, Science"
42,98,99,81,64,93,50,92,Leadership,Science,Blockchain Developer,"Computer, Math"
43,92,74,50,76,73,53,96,Event Management,PE,Fitness Entrepreneur,"PE, Business Studies"
44,92,98,94,63,62,80,67,Robotics,Science,Astronomer,"Math, Science"
45,90,71,55,100,96,82,90,Sports,Arts,Graphic Designer,"Arts, Computer"
46,86,83,63,76,76,73,88,Teaching,PE,Sports Physiotherapist,"PE, Biology"
47,58,82,83,96,58,54,83,Leadership,Arts,Fashion Designer,Arts
48,96,96,85,95,58,55,70,Finance,Math,Game Developer,"Computer, Math"
49,73,80,93,58,74,54,71,Sports,English,Digital Marketer,"English, Business Studies"
50,57,80,72,72,90,64,55,Painting,Computer,Software Developer,"Computer, Math"
51,83,86,61,93,98,86,87,Teaching,Computer,Software Developer,"Computer, Math"
